"","cbsa_code","metro_name","fips"
"1","10100","Aberdeen, SD","46013"
"2","10100","Aberdeen, SD","46045"
"3","10140","Aberdeen, WA","53027"
"4","10180","Abilene, TX","48059"
"5","10180","Abilene, TX","48253"
"6","10180","Abilene, TX","48441"
"7","10220","Ada, OK","40123"
"8","10300","Adrian, MI","26091"
"9","10380","Aguadilla-Isabela, PR","72003"
"10","10380","Aguadilla-Isabela, PR","72005"
"11","10380","Aguadilla-Isabela, PR","72011"
"12","10380","Aguadilla-Isabela, PR","72071"
"13","10380","Aguadilla-Isabela, PR","72081"
"14","10380","Aguadilla-Isabela, PR","72099"
"15","10380","Aguadilla-Isabela, PR","72117"
"16","10380","Aguadilla-Isabela, PR","72131"
"17","10380","Aguadilla-Isabela, PR","72141"
"18","10420","Akron, OH","39133"
"19","10420","Akron, OH","39153"
"20","10460","Alamogordo, NM","35035"
"21","10500","Albany, GA","13095"
"22","10500","Albany, GA","13177"
"23","10500","Albany, GA","13273"
"24","10500","Albany, GA","13321"
"25","10540","Albany-Lebanon, OR","41043"
"26","10580","Albany-Schenectady-Troy, NY","36001"
"27","10580","Albany-Schenectady-Troy, NY","36083"
"28","10580","Albany-Schenectady-Troy, NY","36091"
"29","10580","Albany-Schenectady-Troy, NY","36093"
"30","10580","Albany-Schenectady-Troy, NY","36095"
"31","10620","Albemarle, NC","37167"
"32","10660","Albert Lea, MN","27047"
"33","10700","Albertville, AL","01095"
"34","10740","Albuquerque, NM","35001"
"35","10740","Albuquerque, NM","35043"
"36","10740","Albuquerque, NM","35057"
"37","10740","Albuquerque, NM","35061"
"38","10760","Alexander City, AL","01037"
"39","10760","Alexander City, AL","01123"
"40","10780","Alexandria, LA","22043"
"41","10780","Alexandria, LA","22079"
"42","10820","Alexandria, MN","27041"
"43","10860","Alice, TX","48131"
"44","10860","Alice, TX","48249"
"45","10900","Allentown-Bethlehem-Easton, PA-NJ","34041"
"46","10900","Allentown-Bethlehem-Easton, PA-NJ","42025"
"47","10900","Allentown-Bethlehem-Easton, PA-NJ","42077"
"48","10900","Allentown-Bethlehem-Easton, PA-NJ","42095"
"49","10940","Alma, MI","26057"
"50","10980","Alpena, MI","26007"
"51","11020","Altoona, PA","42013"
"52","11060","Altus, OK","40065"
"53","11100","Amarillo, TX","48011"
"54","11100","Amarillo, TX","48065"
"55","11100","Amarillo, TX","48359"
"56","11100","Amarillo, TX","48375"
"57","11100","Amarillo, TX","48381"
"58","11140","Americus, GA","13249"
"59","11140","Americus, GA","13261"
"60","11180","Ames, IA","19015"
"61","11180","Ames, IA","19169"
"62","11220","Amsterdam, NY","36057"
"63","11260","Anchorage, AK","02020"
"64","11260","Anchorage, AK","02170"
"65","11380","Andrews, TX","48003"
"66","11420","Angola, IN","18151"
"67","11460","Ann Arbor, MI","26161"
"68","11500","Anniston-Oxford, AL","01015"
"69","11540","Appleton, WI","55015"
"70","11540","Appleton, WI","55087"
"71","11580","Arcadia, FL","12027"
"72","11620","Ardmore, OK","40019"
"73","11620","Ardmore, OK","40085"
"74","11640","Arecibo, PR","72013"
"75","11640","Arecibo, PR","72027"
"76","11640","Arecibo, PR","72065"
"77","11640","Arecibo, PR","72115"
"78","11660","Arkadelphia, AR","05019"
"79","11700","Asheville, NC","37021"
"80","11700","Asheville, NC","37087"
"81","11700","Asheville, NC","37089"
"82","11700","Asheville, NC","37115"
"83","11740","Ashland, OH","39005"
"84","11780","Ashtabula, OH","39007"
"85","11820","Astoria, OR","41007"
"86","11860","Atchison, KS","20005"
"87","11900","Athens, OH","39009"
"88","11940","Athens, TN","47107"
"89","11980","Athens, TX","48213"
"90","12020","Athens-Clarke County, GA","13059"
"91","12020","Athens-Clarke County, GA","13195"
"92","12020","Athens-Clarke County, GA","13219"
"93","12020","Athens-Clarke County, GA","13221"
"94","12060","Atlanta-Sandy Springs-Alpharetta, GA","13013"
"95","12060","Atlanta-Sandy Springs-Alpharetta, GA","13015"
"96","12060","Atlanta-Sandy Springs-Alpharetta, GA","13035"
"97","12060","Atlanta-Sandy Springs-Alpharetta, GA","13045"
"98","12060","Atlanta-Sandy Springs-Alpharetta, GA","13057"
"99","12060","Atlanta-Sandy Springs-Alpharetta, GA","13063"
